Date,Country,League,Home Team,Away Team,Handicap,Home Odds,Away Odds,1 Prob,X Prob,Away Prob,Home Score,Away Score,Decision,Result
20201223,Turkey,1,Galatasaray,Goztepe,-1.25,0.87,0.97,0.61,0.2,0.19,3,1,A,-1
20201223,Czech,1,Sparta Praha,Liberec,-0.5,0.9,0.95,0.64,0.26,0.1,1,1,H,-1
20201223,Spain,1,Elche,Osasuna,0,1.12,0.78,0.08,0.17,0.75,2,2,A,0
20201223,Spain,1,Valencia,Sevilla,0.5,0.84,1.06,0.19,0.27,0.54,0,1,A,1
20201223,Isarel,1,Ashdod,Hapoel Haifa,-0.25,0.97,0.87,0.25,0.25,0.5,0,1,A,1
20201223,Norway,1,Brann,Odd,-0.5,0.9,0.95,0.75,0.17,0.08,2,1,H,1
20201223,Norway,1,Stromsgodset,Stabaek,0,0.8,1.05,0.44,0.12,0.44,0,4,A,1
20201223,Norway,1,Sandefjord,Rosenborg,1,0.8,1.05,0.18,0.25,0.57,0,0,H,1
20201223,Norway,1,Valerenga,Start,-0.75,0.85,1,0.62,0.17,0.21,4,0,H,1
20201223,Norway,1,Kristiansund,Haugesund,-1,0.87,0.97,0.56,0.22,0.22,1,3,A,1
20201223,Norway,1,Mjondalen,Aalesund,-1.75,0.92,0.92,1,0,0,3,0,H,1
20201223,Switzerland,2,Chiasso,Schaffhausen,0.75,0.8,1,0.24,0.26,0.5,0,2,H,-1
20201223,Italy,1,Crotone,Parma,0,1.02,0.88,0.25,0.38,0.37,2,1,A,-1
20201223,England,Cup(League),Brentford,Newcastle,0,1.1,0.8,0.38,0.25,0.37,1,0,H,1
20201223,Germany,Cup(DFB-Pokal),Hoffenheim,Furth,-1.5,0.92,0.92,0.86,0,0.14,2,2,H,-1
20201223,Germany,Cup(DFB-Pokal),Ulm,Schalke 04,1.25,0.87,0.97,0,0.12,0.88,1,3,A,1
20201223,Germany,Cup(DFB-Pokal),Augsburg,RB Leipzig,1.5,0.82,1.02,0.2,0.2,0.6,0,3,H,-1
20201223,Germany,Cup(DFB-Pokal),Koln,Osnabruck,-0.75,0.87,0.97,0.56,0.33,0.11,1,0,A,-0.5
20201223,Netherland,1,Emmen,Utrecht,1,0.87,0.97,0.17,0.42,0.41,2,3,H,0
20201223,Isarel,1,Hapoel Hadera,Maccabi Netanya,0.25,0.85,1,0.25,0.25,0.5,2,1,A,-1
20201223,Switzerland,2,Neuchatel,Winterthur,0,0.9,0.9,0.5,0.25,0.25,2,0,H,1
20201223,Italy,2,SPAL,Lecce,0.25,0.82,1.02,0.4,0.25,0.35,1,0,H,1
20201223,Italy,2,Pordeone,Cremonese,-0.25,1.05,0.8,0.31,0.31,0.38,1,2,A,1
20201223,Italy,2,Pisa,Chievo,0,1.05,0.8,0.3,0.27,0.43,2,2,A,0
20201223,Italy,2,Pescara,Brescia,0,1.1,0.77,0.26,0.33,0.41,1,1,A,0
20201223,Italy,2,Cittadella,Frosinone,-0.25,1.05,0.8,0.42,0.38,0.2,1,0,H,1
20201223,Italy,2,Cosenza,Venezia,0,1,0.85,0.36,0,0.64,0,0,A,0
20201223,Italy,2,Vicenza,Reggina,-0.25,0.97,0.87,0.34,0.31,0.35,1,1,A,0.5
20201223,Italy,2,Monza,Ascoli,-1.25,0.85,1,0.56,0.29,0.15,2,0,A,-1
20201223,Isarel,1,Maccabi Haifa,Bnei Yehuda,-1.25,0.82,0.98,0.73,0.09,0.18,3,0,H,1
